label,text
Negative,"Anggota polis atau tentera bukannya golongan tidak berpelajaran atau buta maklumat kerana mereka boleh membaca surat khabar, menonton televisyen dan mempunyai telefon untuk mendapatkan pelbagai informasi berguna, sebelum mengundi."
Negative,"Namun jika didapati keluarga atau waris tidak dapat membantu, maka tindakan intervensi itu adalah penting bagi kita"
Positive,"Yang jelas, saya tidak sokong YB Gombak (Azmin) kerana dia akan merugikan rakyat Selangor lebih RM2 billion dalam isu penyusunan semula industri air Selangor"
Negative,walaupun asean telah menubuhkan pengintegrasiannya sebagai sebuah komuniti yang mesra rakyat ia hanya kata-kata sahaja kerana masih belum ada identiti asean sebenar
Positive,Semua ini boleh dicapai kerana UMNO di bawah kepimpinan sekarang adalah parti demokrasi ultra populis yang mendapat sokongan padu majoriti orang Melayu dan rakyat Malaysia
Positive,Mereka menerima kedatangan kami dengan baik
Positive,Namun sebagai kerajaan yang bertanggungjawab dan keterbukaan Perdana Menteri hari ini pandangan semua pihak dianggap bermakna dalam penggubalan sesuatu undang-undang
Positive,"Mengenai pencalonan Wanita UMNO dalam Pilihan Raya Umum ke-14 (PRU-14), saya sudah berbincang panjang lebar dengan Presiden UMNO. "
Negative,menepis tuduhan yang mendakwa badan berkenaan tidak telus dalam menjalankan proses pilihan raya di negara ini.
Positive,mencerminkan semangat kental dan kesungguhan BN untuk merampas kembali kerusi yang terlepas daripadanya pada pilihan raya umum lepas.
Positive,Pembangunan baharu termasuklah pengkomputeran awan perindustrian untuk mengawal proses pembuatan
Negative,pembelian penonton merupakan salah satu taktik bagi menagih simpati atau pengaruh pada saat-saat akhir berkempen.
Negative,media sosial digemparkan dengan berita diculik oleh seorang lelaki menyamar sebagai bapanya
Negative,Harga produk ini sejak beberapa tahun terakhir menunjukkan peningkatan ketara
Negative,pasukan juga perlu berdepan dengan kos besar untuk menggugurkan pemain lama jika mahu mengikat pemain baharu.
Positive,mahu rakyat bertambah yakin dan selesa dengan segala sistem atau perkhidmatan
Positive,Kami hantar barangan ke sana dengan kontena dan ia habis dengan begitu cepat sekali
Positive,"berkat solat Hajat dan bacaan Yasin yang sering dibaca penduduk kampung, situasi menjadi kembali tenang."
Positive,gembira dan meluahkan rasa syukur kerana bergelar duta jenama Ariani untuk tahun keempat.
Negative,"tidak ada lagi perdana menteri yang sanggup memerangi aliran pemikiran Islam yang jumud, kolot dan mundur ini dalam bidang politik, ekonomi dan keilmuan. "
Positive,Kenapa saya mesti buat begitu dan bagaimana saya boleh tinggalkan kawasan yang saya curahkan khidmat bakti selama ini.
Negative,Amaran Datuk Seri Najib supaya rakyat tidak percaya kepada berita palsu hanya omongan kosong umpama ketam mengajar anak berjalan
Positive,Takkan hendak tunggu sampai benda buruk terjadi baru hendak ambil tindakan?
Positive,"Selaku menteri Perumahan, Kerajaan Tempatan dan Kesejahteraan Bandar, menjadi tanggungjawab kita untuk memastikan penggunaan beg plastik ini dikurangkan."
Positive,Kita ikut suara pucuk pimpinan
Positive,"Jadi, persaingan tiga penjuru membabitkan penyertaan PAS adalah bonus kepada UMNO/BN Selangor yang datang kemudian,"
Negative, Apa yang membimbangkan sekarang adalah elemen keselamatan yang boleh menjadi ancaman pada masa depan
Positive,"Patriot memuji usaha KWSP yang tampil menafikan beberapa dakwaan yang dibuat Sarawak Report, terutama yang merujuk kepada dana tersebut."
Negative,"Walaupun tahap korupsi tidak seteruk Najib, Mahathir ketika pentadbirannya telah menjejaskan demokrasi di Malaysia."
Positive,SMO adalah alternatif disediakan oleh kerajaan bagi individu yang mahu memproses permohonan PRA sendiri dengan kadar yang minimum
Positive,"Saya akui dia pernah menolong saya dan keluarga yang kononnya berjumlah RM25,000 tetapi sebenarnya tidak sampai jumlah itu."
Negative,"Ini bermakna, Datuk Sri Najib dan 1MDB diberikan keistimewaan untuk tidak memfailkan pembelaan"
Positive,Kita harus berusaha berkomunikasi antara satu sama lain.
Positive,"Saya percaya kepada pihak keselamatan untuk menjaga keselamatan dan memastikan perjalanan PRU14 lancar, selamat dan harmoni"
Negative,Saya lihat apa yang tersebar ini sebagai mainan daripada pihak tertentu yang mahu merosakkan kredibiliti kerajaan.
Negative,Jika hari ini GST diperlukan sebabnya ialah kerana banyak wang Kerajaan disalah guna dan dibazirkan. 
Negative,begitu juga krisis keganasan ke atas minoriti rohingya dan minoriti lain di myanmar bukan lagi persoalan dalaman myanmar tetapi melibatkan rantau negara jiran dan seluruh dunia kerana tindakan diambil myanmar di anggap memiliki unsur pembersihan kaum dan dari segi undang-undang antarabangsa ia melibatkan persoalan jenayah kemanusiaan antarabangsa dan genosid
Positive,SPR bersedia memberikan kerjasama sepenuhnya kepada polis dalam menjalankan siasatan berhubung kes ini sekiranya diperlukan
Negative,Kami melakukan kesilapan.
Positive,tidak kurang juga sektor pertanian yang perlu diperkasakan di samping melatih rakyat malaysia agar berkemahiran tinggi dalam pelbagai bidang
Negative,"Jika tidak berubah, bukan sahaja mengancam kebersihan persekitaran tetapi boleh mengancam keselamatan penduduk"
Negative,berubah 360 darjah daripada seorang yang berbudi bahasa kepada individu yang suka mencerca.
Negative,"Tuduhan sebegini menyebabkan terjadinya buruk sangka dalam kalangan netizen, lantas menjejaskan reputasi dan integriti anak guam saya"
Negative,"Namun, dalam konteks keberkesanan demokrasi, prinsip kebebasan untuk tidak menyuarakan pendapat tidak patut dipupuk sehingga boleh menyebabkan kematian kepada demokrasi itu sendiri."
Positive,Jadi raya pun boleh disambut dengan meriah...
Positive,Kami sudah mengumpulkan bahan ceramah dan dihasilkan dalam bentuk manual bagi memudahkan penceramah.
Positive,"Sebaliknya, kerajaan sedia ada tidak sekadar berjanji atau bercakap untuk memburukkan orang lain. "
Positive,Rakyat di Permatang Pauh bijak pandai dan mereka tahu siapa sebenarnya yang boleh tadbir di Permatang Pauh
Negative,"Ini mungkin permulaan tindakan Hadi untuk menghancurkan dan memusnahkan Pakatan Rakyat, yang berjaya dilakukannya selepas pilihan raya umum ke-13"
Negative,Hal ini amat tidak masuk akal.
Positive,Kerajaan hari ini terus menggalakkan inisiatif dalam memperkasakan belia ke arah kepimpinan untuk memastikan masa depan yang lebih baik yang dapat memenuhi perkembangan ekonomi yang pesat serta masalah pencemaran alam sekitar
Positive,"Loji rawatan itu mesti dapat air mentah untuk dirawat, bukan dapat dari angin."
Negative,"Kita ambil contoh di Johor, ada yang wujudkan persepsi bahawa orang Cina dan Singapura telah menekan orang Melayu, lalu dipinggirkan. "
Positive,"Dasar  ini mudah sahaja, kalau daun warna hijau, tetapi kita cat biru. lama kelamaan akan jadi hijau jugak, sebab dasar itu berlainan,"
Positive,Mereka tidak diletakkan dalam apa-apa operasi taktikal di barisan hadapan
Negative,Niat mereka ialah untuk menyerang Kota Suci adalah sama seperti melanggar rukun Islam yang menjadi tiang agama
Positive,"Saya boleh menang tapi kalau saya bertanding atas tiket parti, peluang nak menang lagi mudah, paling tidak majoriti tidak kurang 8,000 undi,"
Positive,Diskaun tol yang diberikan tahun ini istimewa kerana lebih awal berbanding tahun sebelumnya sebagai tanda keprihatinan kami kepada pengguna Lebuhraya SMART
Positive,Menurutnya semua pemimpin kerajaan termasuk perdana menteri dan timbalan perdana menteri tidak terkecuali untuk isytiharkan sebarang bentuk hadiah yang diterima
Positive,"Pilihan raya matang akan bawa perubahan baru iaitu bila dah tak amanah, rakyat menderita maka perlu berani ambil buat keputusan tegas"
Positive,"Sentimen ini dipacu terutamanya oleh pertambahan syarikat pemula niaga, perluasan perniagaan tempatan dan kemasukan firma asing yang akan mewujudkan peluang pekerjaan dan keperluan terhadap pelbagai kemahiran"
Positive,Ini bermakna segala kelengkapan di semua bilik darjah nanti akan mempunyai peralatan pendidikan yang terkini dan moden
Positive,"Masyarakat sekarang gunakan kemajuan IT utk kongsi ilmu, pengalaman, info kesihatan, keselamatan, tolong menolong sambil kongsi kegembiraan kedukaan sesama manusia untuk menyalurkan bantuan"
Positive,"Pakatan Harapan akan berusaha untuk mengurangkan, malah sebaiknya menghentikan kegiatan-kegiatan ini demi menjamin kehidupan yang lebih baik buat penduduk khususnya Orang Asli"
Positive,berkata arahan tutup mulut patut melibatkan penerbitan kenyataan atau bahan-bahan berkaitan merit kes itu.
Negative,Saya tak boleh lari kerana undang-undang tidak dihormati. 
Negative,dalam jangka masa pendek dan sederhana kehidupan rakyat jelata akan menjadi bertambah sukar dan mereka perlu belajar lebih berdikari
Positive,"Saya sekali lagi ucapkan selamat menyambut ulang tahun ke-40 kepada semua warga PNB, dan saya yakin masa depan PNB akan terus cemerlang"
Positive,"Pembangkang gagal menyatakan bahawa dakwaan sumber dana dalam tuntutan sivil DoJ adalah daripada Aabar BVI, yang menurut DoJ, dikatakan mempunyai urusan perniagaan dengan Jho Low."
Positive,seorang arkitek tidak lemah walaupun setiap pilihan raya yang disertai akan kehilangan wang pertaruhan.
Positive,"calonnnya lebih awal merupakan satu strategi baik kerana ia akan memberinya cukup masa untuk menyelesaikan isu, termasuk cubaan sabotaj dan mempunyai lebih banyak masa untuk mendekati pemilih."
Negative,Ada kebimbangan mengenai dasar awam dalam kalangan pengundi terutamanya di kawasan orang miskin luar bandar
Positive,Satu lagi perkara penting ialah mendapatkan sokongan daripada kawan-kawan atau keluarga
Negative,"Seseorang individu, sejauh mana dia popular suatu ketika dahulu pun tidak boleh membawa perubahan tanpa ada kekuatan parti di belakangnya"
Positive,pengusaha-pengusaha kereta sewa menerima tempias daripada momentum pilihan raya apabila kebanyakan mereka menerima tempahan berganda sejak seminggu lalu daripada pelbagai pihak.
Negative,Sinaran LED bawa mudarat
Negative,"Dengan ditarik balik berbagai subsidi termasuk minyak tekanan ke atas rakyat, terutama golongan miskin dan yang berpendapatan sederhana amatlah berat."
Positive,Sudah  tiba masanya untuk Mukhriz berhenti memutarbelitkan fakta dengan sengaja untuk menyelamatkan dirinya dan tampil bersih
Positive,"Kalau tanya saya, saya setuju sahaja, (tempoh kempen) panjang tidak apa, pendek pun tidak apa tetapi kita mengharapkan ada etika dalam berkempen"
Positive,"Selain dapat merawat penagih, kita juga boleh eksport ubat sirap (cairan) ketum dan menjana ekonomi negara kita"
Negative,Kita menjemput Israel bukan atas kehendak kita.
Positive,Saya bertanding di 1 kerusi yang di mana semua orang anggap tidak boleh menang.
Positive,menerima permohonan maaf  berkenaan selepas menyedari kesilapannya membuat kenyataan seumpama itu.
Positive,justeru asean perlu mengambil tindakan sebagaimana dianjurkan oleh malaysia
Positive,"Berjuanglah dengan gagah berani tanpa tolak ansur dan bila sudah menang, jalankan amanah sebagai pemimpin"
Positive,Kita (Felcra) perlu mempelbagaikan usaha (untuk meningkatkan perolehan) berikutan isu minyak sawit dengan EU
Positive,Tak ada orang yang memahami logiknya
Negative,PH Johor mengesyaki penangkapan Mazlan bermotif politik. 
Positive,Tidak ada rakyat Malaysia yang mahukan perasaan kebencian ini terus ditanam dan disemai di dalam jati diri setiap warganegara
Negative,Artikel tersebut disiarkan semalam dengan antara kan­dungannya berbentuk ulangan serta membangkitkan semula dakwaan dan tuduhan pihak pembangkang meskipun ada yang telah dijawab.
Positive,"Tiada nelayan di semenanjung Malaysia yang berpendapatan dibawah RM500 sebulan, jika ada saya percaya mereka bukan nelayan sebenar yang berdaftar tetapi sebaliknya nelayan sambilan yang tidak menangkap ikan sepenuh masa"
Positive,Politik Islam masih menekankan soal matlamat dan agenda Islam yang wajib menjadi garis asas perjuangan sesebuah bangsa iaitu untuk ‘menjaga agama dan mentadbir dunia dengan manhaj agama’
Positive,beliau menyeru supaya mereka bertindak memilih calon-calon yang tepat agar kemajuan terus dapat diberikan oleh kerajaan.
Positive,UTC merupakan antara usaha dan inisiatif kerajaan untuk menyediakan pelbagai perkhidmatan utama kerajaan dan sektor swasta kepada komuniti bandar di dalam satu pusat sehenti atau di dalam satu bangunan
Positive,Jika ada di kalangan mereka yang terlibat dalam aktiviti pengganas dan tentunya mana-mana negara tidak perlu menyatakan kekhuatiran atau kegusaran terhadap apa yang dilakukan oleh kerajaan Malaysia ini
Positive,Inilah yang rakyat mahukan dan kerajaan akan bekerja keras memenuhi harapan mereka dan berikan hak mereka
Positive,"Atas kejayaan ini, saya ucap tahniah kepada kepimpinan Tan Sri Abdul Wahid Omar dan Datuk Abdul Rahman Ahmad"
Positive,selain dari kesatuan eropah asean boleh dikatakan berjaya dari perspektif pertubuhan kerjasama serantau terutamanya dalam bidang ekonomi kerana berupaya mengubah taraf hidup dan pencapaian perkapita termasuk mengurang taraf kemiskinan penduduknya
Positive,"Jangan stres, kalau kita buat cara betul, kalau kita tinggalkan benda tak baik, kita boleh stres"
Negative,"Sebelum ini, apa yang diberitahu kepada kita sangat tidak tepat."
Positive,"Terdapat 16 pusat dan institut latihan di seluruh negara, yang melahirkan lebih 1,000 orang graduan setiap tahun"
Negative,menjangkakan tsunami fitnah akan bermaharajalela dalam media sosial
Positive,"Pada saya, saya fikir mereka patut teruskan"
Negative,"Daripada kajian kami lakukan, kebanyakan mereka tidak faham dan tidak pasti untuk membuat permohonan Rumawip"
Negative,"Mengapa beliau tidak datang, kenapa tidak berani, kenapa pengecut sekadar menjadi keyboard warrior. Tidak boleh macam itu, awak hendak bantai orang datanglah secara terbuka."
Positive,Kami akan memberi tentangan walaupun sebagai underdog
Positive,Sebab itu kita perlu berhati-hati kerana fitnah ini kesannya sangat buruk dan hukumnya haram dan berdosa kepada penyebar atau menerima bulat-bulat tanpa usul periksa
Positive,secara peribadi saya lebih yakin kepada ahli ekonomi yang mewakili institusi-institusi penyelidikan bebas dan universiti
Positive,"Kami berpendapat, sebarang persoalan mengaitkan isu politik yang timbul mestilah diselesaikan dengan hujah dan fakta."
Positive,"Jadi saya puas hati bahawa saya punya kuasa budi bicara, ia boleh dibawa keluar, tetapi menurut peraturan mesyuarat 95A, tidak boleh disiarkan dengan apa cara sekali pun"
Positive,"Disebabkan itu saya telah mengarahkan siasatan yang paling komprehensif dan terperinci dilakukan dalam sejarah korporat Malaysia, siasatan yang melibatkan pelbagai pihak berkuasa termasuk jawatankuasa parlimen dianggotai parti kerajaan dan pembangkang"
Negative,hari ini diperintah oleh Mahkamah Rayuan agar membayar ganti rugi
Negative,"Penjawat awam yang angkuh, biadab dan tidak bertanggungjawab itu, yang sesetengah orang anggapnya ‘sarjana agama’, jelas sekali tidak faham seseorang tidak akan tahu bila ajal tiba"
Positive,"Perhimpunan ini akan menjadi platform semua badan pensijilan halal berkongsi pengalaman dan perkembangan terkini industri halal bukan berkaitan makanan semata-mata, tetapi sudah berkembang kepada barang gunaan seperti kosmetik dan farmaseutikal"
Negative,Pengundi di dua kawasan itu berkali-kali ditipu pembangkang...apabila mereka berjanji tidak ditunaikan..sampai bila mahu ditipu lagi
Positive,Polis telah bekerjasama dengan Suruhanjaya Komunikasi dan Multimedia (SKMM) bagi kes terdahulu
Positive,Hubungan yang rapat ini penting dalam meningkatkan kebolehpasaran graduan agar dapat menepati kehendak industri selepas mereka bergraduasi
Negative,Anak-anak yang masih muda membuang masa di sekolah-sekolah ini yang tidak mempunyai kokurikulum dan sistem pendidikan akademik yang moden.
Negative,sebaliknya apa yang berlaku adalah tsunami fitnah dan tohmah oleh pembangkang.
Negative,Rata-ratanya menolak Barisan Nasional (BN) atas isu-isu yang melanda
Positive,"Bagaimanapun, terbukti hanya dalam tempoh enam bulan, 11,000 peneroka mendapat kepercayaan dan kembali bersama FELDA"
Positive,"Kemasukan saya dalam parti mana-mana pun termasuk Amanah,  pendirian saya bukan bermatlamat untuk menjadi calon kerana parti sudah tentukan kerusi dan calon yang bakal bertanding."
Positive,malahan penelitian isu ini perlu diberi nafas baharu sesuai dengan keadaan semasa dan cabaran masa kini
Positive,"Ini secara tidak langsung dapat membantu kira-kira 440,000 pekebun kecil getah dalam meningkatkan pendapatan mereka dan kepelbagaian penggunaan getah terutamanya dalam sektor pembinaan dapat mengurangkan stok getah semasa"
Positive,Kita turut memperkasakan kakitangan mengenai aspek keselamatan termasuk kebakaran dan ia dijalankan secara berterusan.
Negative,Tapi mereka melampaui batas (dengan) melindungi penjenayah.
Negative,"Kalau mereka ikhlas mahu berjuang untuk rakyat dan mempu­nyai agenda yang lebih hebat daripada BN bagi membangunkan negara, mereka hanya akan membentangkan bagaimana ma­hu melaksanakan apa yang terkan­dung dalam manifesto mereka, tetapi manifesto mereka sekadar sehelai kertas yang mempunyai janji-janji kosong yang tidak mampu akan dilaksanakan."
Positive,"Setakat  ini, Alhamdulillah,  tak ada  seorang pun yang terkorban  dalam  kejadian keganasan di Malaysia. "
Positive,Paparan secara langsung itu membolehkan sesi persidangan berkenaan ditonton masyarakat di seluruh dunia
Negative,Hakikat bahawa plaintif (Anwar) hanya akan memberi butiran lanjut dan lebih baik mengenai dakwaan penipuan melalui pendedahan mempunyai kecacatan dan fatal
Positive,"Satu kata sepakat sudah dicapai antara kami berhubung agihan 36 kerusi Dun di Kedah, saya andaikan semua pihak pastinya ada wujud rasa kurang puas hati, atau mungkin berpuas hati dengan apa yang dimuktamadkan,"
Positive,"Setelah mendapat bukti yang cukup dan merujuk kepada pihak pendakwaan, kita akan bertindak dan mendakwanya di mahkamah"
Positive,Ia membuktikan mereka sudah memasakkan iltizam untuk berkerja kuat berhadapan mana-mana pihak lawan
Positive,Sebab itu semakan perlu dibuat dan menjadi tanggungjawab kepada pengundi itu sendiri bagi memudahkan semasa hari pengundian
Positive,Jadi di sini kerajaan datang tolong...itu sistem kita
Negative,Ini tak disiasat oleh ROS
Positive,"Jadi, perlu dasar awam baru diperkenalkan untuk benar-benar membebaskan golongan ini daripada kemiskinan"
Positive,"Pada masa ini, manggis, nanas dan daging itik dieksport ke Jepun. "
Negative,"Suasana pada masa ini tidak didominasi harapan dan kegembiraan, tetapi penuh ketidaktentuan dan ketidakpastian. Tempoh kempen akan menjadi lebih penting berbanding biasa"
Positive,komited untuk berbakti dan mampu mencetuskan satu revolusi pembangunan
Positive,"Sebagai pembangkang yang matang dan sejahtera, PAS akan menghadapi pilihan raya umum dan tidak menumbang kerajaan dari pintu belakang"
Positive,"Oleh itu, projek bangunan tambahan Hospital Langkawi telah diluluskan di bawah Rolling Plan Ketiga RMK-11"
Positive,"Penduduk kampung yang terselamat di Kampung Tanjung Batu memberitahu saya, mereka (pengganas Kiram) mencari saya, tetapi saya tidak pernah gentar"
Positive,Harapan percaya proses menyuburkan semangat demokrasi amat penting kepada pelajar sekolah. 
Positive,"Ini apat dibuktikan menerusi pelaksanaan Inisiatif Melestari Pembangunan Komuniti (1MPAK) oleh MARA baru-baru ini dan melalui kerajaan yang menyasarkan untuk mewujudkan sebanyak 250,000 peluang pekerjaan kepada generasi muda"
Positive,"Saya menyokong gesaan BN Selangor ini, tetapi hanya jika mereka memutuskan untuk menggunakan beg mesra alam"
Negative,"Ini negara apa sebenarnya, nyanyi pun salah"
Positive,"Bagaimanapun, Rang Undang-undang ini sama sekali tidak menyekat hak kebebasan bersuara rakyat sebagai mana yang diperuntukkan di bawah Perlembagaan Persekutuan"
Negative,"Menteri di Jabatan Perdana Menteri, Datuk Seri Shahidan Kassim menjawab kerajaan pusat kehabisan dana untuk bantu mangsa banjir di Pulau Pinang. "
Negative,Pihak pembangkang sentiasa memusatkan matlamat dan agenda mereka untuk menjatuhkan kerajaan sedia ada.
Positive,"Bagi penduduk di sini, mereka tahu siapa wakil rakyat yang beri perkhidmatan dan kerja keras untuk mereka"
Positive,berkata kerajaan sedang merangka formula terbaik dalam memastikan gejala rasuah yang berlaku di negara ini dapat dikurangkan dan seterusnya dihapuskan.
Positive,ni menyebabkan mereka bersaing satu sama lain yang antara lain akan meningkatkan kos operasi berikutan perlu membayar gaji ramai pekerja
Positive,jangan pilih yang sekadar hendak menggunakan masjid sebagai platform atau batu loncatan untuk karier masing-masing.
Positive,Saya juga nampak kepentingan penggunaan Bahasa Inggeris apabila kita menerima pelancong di Felda ini
Negative,Saya fikir mereka ini tidak layak lagi jadi anggota parti
Positive,Kita bukan mahu bentuk kerajaan saja tapi meletakkan yang benar layak tadbir negara dan meletak kedudukan negara ke landasan semula
Positive,"Sekiranya ada pelajar bercadang menyambung pengajian di luar negara seperti di Timur Tengah, ia akan memudahkan proses selanjutnya"
Positive,"Macam kita buat di sini, di Kiulu ini, asas masa depan"
Negative,disembur cat dan dikoyakkan sebagai protes kepada Suruhanjaya Pilihan Raya
Positive,Ayer Hitam dianggap kawasan yang paling kuat dalam MCA dan BN
Positive,berkenaan dengan penggunaan domestik dijangkakan pelbagai insentif akan diumumkan oleh kerajaan bagi membolehkan rakyat memiliki kuasa beli yang lebih tinggi misalnya pengurangan cukai pendapatan golongan berpendapatan sederhana
Positive,Maknanya Geely merupakan syarikat yang begitu ternama dan itu sebabnya Proton memilih Geely sebagai rakan kongsi dan kita rasa ia pilihan tepat
Positive,"“Sebagai pengedar Proton, kita tidak boleh menjual kereta kepada (ahli) Persekutuan Persatuan Hokkien dengan diskaun khas ini…ia ‘bypass’ pengedar, sebaliknya terus kepada Proton"
Positive,"Jadi waktu berbahas nanti, saya tahu yang berhormat… selama 10 tahun (saya) duduk di sini semua cerdik, benda tak dibaca pun waktu berbahas boleh tahu, boleh sebut apa lagi perkara begitu telah dibincang lama. "
Positive,di negara yang betul-betul maju perlu mengamalkan konsep demokrasi yang tidak mengongkong rakyat.
Positive,"Aspek keselamatan harus didedahkan kepada semua pelajar sebagai persediaan sekiranya berlaku sebarang kecemasan seperti kebakaran, banjir mahu pun serangan wabak penyakit"
Negative,Berita palsu akan ada dalam strategi kempen saat-aat akhir...itu saya pasti
Positive,kerajaan bertanggungjawab dan tidak akan membuat sebarang janji sekiranya tidak mampu melaksanakannya.
Positive,"Sumbangan daripada segmen itu adalah penting, menyumbang seperlima daripada hasil, selain daripada pendapatan sampingan lain, iaitu, makanan dalam penerbangan, perkhidmatan daftar masuk lapangan terbang dan perniagaan logistik"
Positive,"Malah, turut membantu individu yang dijangkiti HIV untuk mendapatkan rawatan yang baik."
Negative,Memang ada asas yang menimbulkan kebimbangan
Positive,"kembali bergerak cergas sebaik saja beliau mengangkat sumpah sebagai perdana menteri Malaysia ketujuh pada Mei, memikul tanggungjawab berat mengemudi negara dengan penuh tenaga yang terdapat pada dirinya sepanjang usia lebih sembilan dekad."
Positive,"Saya mengaku, saya pun pernah sebut bila berdepan dengan hadirin yang 100% Melayu."
Positive,Kita sudah arahkan Jabatan Perhutanan membuat kajian dan kita tunggu hasil kajian dahulu
Negative,muat naik gambar alat sulit
Negative,Negara mengamalkan demokrasi berparlimen tetapi kini lebih dikenali sebagai negara kleptokrasi disebabkan pemimpin kerajaan yang telah merompak dan merampas hak rakyat
Positive,demi menjamin kesinambungan pembangunan untuk kesejahteraan rakyat.
Positive,"Bagi sektor awam, ketua di setiap agensi, boleh membantu memastikan kakitangan mereka keluar mengundi lebih awal kerana mengundi sangat penting untuk memilih kepimpinan negara demi kesejahteraan rakyat,"
Negative,"ia boleh menjejaskan ahli dari segi moral, semangat dan kesungguhan bermati-matian nak memenangkan calon"
Negative,Ternyata mereka ini adalah agen yang wujud bagi memporak-perandakan Bersatu
Positive,secara keseluruhan telah bersedia menghadapi pilihan raya itu serta sedia menghadapi sebarang kemungkinan hasil percaturan
Positive,"Terima kasih kepada langkah yang berani itu, walaupun hanya tinggal enam bulan lagi pada tahun itu, kita melihat trafik penumpang di LCCT melonjak 31 peratus kepada 7.6. juta daripada 5.8 juta pada 2006,"
Negative,"Apa lagi yang boleh kami lakukan? Kami sudah menghantar surat bantahan dan memorandum kepada kerajaan negeri sejak 2010,"
Positive,Semua pihak diseru supaya meneliti terlebih dahulu sejarah pengurusan hal ehwal Islam di negara ini selain melihat sumbangan Jakim kepada seluruh masyarakat Islam
Positive,Bukan semua perkara kita perlu lapor kepada polis
Positive,"Tidak wujud situasi apabila tiga atau empat parti politik Melayu bertanding dan cuma satu parti Cina dan menyebabkan parti Cina menang, tidak jadi begitu"
Positive,rais sangat prihatin tentang ekonomi orang melayu sehingga akhir hayatnya
Negative,"Resolusi itu memberi kesan besar terhadap Malaysia, bukan sahaja dari segi ekonomi, malah terhadap pendapatan pekebun kecil kelapa sawit yang bergantung kepada penjualan hasil eksport berkenaan"
Negative,Kami tahu Harapan tidak boleh laksanakan perkara itu. Itu manifesto mereka dan satu janji yang pasti kepada rakyat
Negative,Ia juga menyebabkan negeri-negeri mula membandingkan sesama mereka negeri mana yang mencapai GPS di sekolah rendah
Positive,Aplikasi ini dibangunkan untuk menyediakan kemudahan semakan secara mudah alih kepada orang awam untuk mengetahui status pendaftaran sebagai pemilih.
Negative,asean sudah menjadi rantau di mana genosid telah berlaku
Negative,"mengulas lanjut tidak menafikan kemungkinan wujud cubaan menyogok pengundi oleh pakatan pembangkang, namun menyebarkan dakwaan perbuatan itu dilakukan untuk mengaburi kegiatan berkenaan."
Negative,turut menasihatkan rakyat supaya tidak tertipu dengan pembangkang yang menjadi tangan ghaib dalam pembangkang.
Positive,beliau akhirnya berjaya mendapatkan kad pengenalan sebelum pencalonan ditutup.
Positive,"Sekarang, kita serah kepada polis untuk melakukan siasatan penuh berhubung perkara ini"
Positive,"Tanpa masalah, mereka dibenarkan memasuki dewan untuk mengemukakan kertas pencalonan mereka."
Positive,"Kad itu untuk mereka yang lahir di China tetapi berhijrah ke Malaysia dan diberi kerakyatan Malaysia, jadi mereka boleh guna kad itu untuk pulang jika mahu"
Negative,Tidak ada maknanya kita bertindak selepas sesuatu kejadian berlaku. 
Positive,dari segi perangkaan dan mengikut analisis biasa ekonomi kita tidaklah terlalu teruk
Positive,"Sekarang, asrama-asrama itu diambil alih oleh jabatan pendidikan dan saya gembira kerana inilah tanggungjawab bersama, iaitu menyediakan kemudahan untuk anak-anak kita di sekolah"
Positive,"""Sejak merdeka, kita sentiasa mengiktiraf peranan wanita dalam politik, ekonomi malah memberi mereka peranan penting dalam pentadbiran negar"
Positive,"Mereka yang mendukung demokrasi hendaklah berkhidmat sebagai penjaga kepada keutuhan sistem demokrasi secara umum dan hendaklah menjaga kebebasan, demi kelangsungan sistem demokrasi itu sendiri."
Positive,Kita mahu memastikan semua peringkat masyarakat menikmati kemudahan yang lebih selesa
Positive,hasrat ini berteraskan kepada prinsip menghormati kebebasan integriti wilayah dan kedaulatan setiap negara anggota
Negative,malaysia bukan sahaja mengalami masalah defisit belanjawan yang serius tetapi juga defisit kebolehpercayaan terhadap kerajaan yang teruk
Negative,"Yang betul-betul boleh kalahkan Najib Razak dan (isterinya) Rosmah Mansor dan seluruh jentera Barisan Nasional (BN), tak lain tak bukan hanya Tun Dr Mahathir Mohamad yang layak"
Negative,"Saya melihat bahawa menjelang PRU14, pihak pembangkang akan sentiasa menggunakan pelbagai isu dan provokasi yang boleh menyebabkan kemarahan rakyat termasuk ingin menunjukkan wujudnya kepincangan di pihak kerajaan."
Negative,"Kalau dah hentam kerajaan secara terbuka, memang itu tindakan sepatutnya diambil"
Positive,"Oleh itu, kita boleh menjangkakan aktiviti mencari kerja dan pengambilan pekerja akan meningkat tahun ini"
Negative,"Ini bukan sahaja untuk orang India, tetapi semua rakyat Malaysia yang hidup sebagai setinggan"
Negative,Tak mustahil 400 aduan kepada ROS itu antara strategi diarahkan ‘pendedak’ setelah masing-masing dapat habuan dari pihak tertentu
Negative,"Shafee beritahu penonton dia sedia berdebat dengan sesiapa sahaja, termasuk Majlis Peguam Malaysia berkaitan sabitan itu, tetapi dia tidak bersedia pula untuk hadir ke mesyuarat Badan peguam Malaysia untuk mempertahankan diri"
Positive," Terdapat banyak lagi harus dilakukan, dan kami perlu meningkatkan usaha serta melaksanakannya"
Negative,"Bulan ini tidak boleh menang, dia buat kacau sahaja."
